Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total
US10,2023-12-26,430563,1235547,-13639.0,103773.0,-804984,Bonds,1666110
US10,2023-12-19,444202,1131774,-69774.0,60867.0,-687572,Bonds,1575976
US10,2023-12-12,513976,1070907,31421.0,-48104.0,-556931,Bonds,1584883
US10,2023-12-05,482555,1119011,-28438.0,-77336.0,-636456,Bonds,1601566
US10,2023-11-28,510993,1196347,31406.0,58602.0,-685354,Bonds,1707340
US10,2023-11-21,479587,1137745,-34522.0,-38130.0,-658158,Bonds,1617332
US10,2023-11-14,514109,1175875,12673.0,69940.0,-661766,Bonds,1689984
US10,2023-11-07,501436,1105935,-70859.0,-94058.0,-604499,Bonds,1607371
US10,2023-10-31,572295,1199993,29971.0,94307.0,-627698,Bonds,1772288
US10,2023-10-24,542324,1105686,53246.0,-94132.0,-563362,Bonds,1648010
US10,2023-10-17,489078,1199818,8164.0,5922.0,-710740,Bonds,1688896
US10,2023-10-10,480914,1193896,-11146.0,-32045.0,-712982,Bonds,1674810
US10,2023-10-03,492060,1225941,-17518.0,-15635.0,-733881,Bonds,1718001
US10,2023-09-26,509578,1241576,19725.0,49407.0,-731998,Bonds,1751154
US10,2023-09-19,489853,1192169,22739.0,-19247.0,-702316,Bonds,1682022
US10,2023-09-12,467114,1211416,12234.0,-34999.0,-744302,Bonds,1678530
US10,2023-09-05,454880,1246415,29457.0,15439.0,-791535,Bonds,1701295
US10,2023-08-29,425423,1230976,-99638.0,11040.0,-805553,Bonds,1656399
US10,2023-08-22,525061,1219936,29851.0,-22202.0,-694875,Bonds,1744997
US10,2023-08-15,495210,1242138,-29484.0,25718.0,-746928,Bonds,1737348
US10,2023-08-08,524694,1216420,55202.0,101742.0,-691726,Bonds,1741114
US10,2023-08-01,469492,1114678,25585.0,47000.0,-645186,Bonds,1584170
US10,2023-07-25,443907,1067678,5340.0,-450.0,-623771,Bonds,1511585
US10,2023-07-18,438567,1068128,-79638.0,-85214.0,-629561,Bonds,1506695
US10,2023-07-11,518205,1153342,83749.0,-61792.0,-635137,Bonds,1671547
US10,2023-07-03,434456,1215134,21463.0,1142.0,-780678,Bonds,1649590
US10,2023-06-27,412993,1213992,-12972.0,38030.0,-800999,Bonds,1626985
US10,2023-06-20,425965,1175962,-11437.0,46707.0,-749997,Bonds,1601927
US10,2023-06-13,437402,1129255,26625.0,-35223.0,-691853,Bonds,1566657
US10,2023-06-06,410777,1164478,-1729.0,-98449.0,-753701,Bonds,1575255
US10,2023-05-30,412506,1262927,-67526.0,11257.0,-850421,Bonds,1675433
US10,2023-05-23,480032,1251670,-47458.0,31738.0,-771638,Bonds,1731702
US10,2023-05-16,527490,1219932,74413.0,35157.0,-692442,Bonds,1747422
US10,2023-05-09,453077,1184775,30660.0,13211.0,-731698,Bonds,1637852
US10,2023-05-02,422417,1171564,32689.0,41575.0,-749147,Bonds,1593981
US10,2023-04-25,389728,1129989,-83344.0,-23164.0,-740261,Bonds,1519717
US10,2023-04-18,473072,1153153,54992.0,96036.0,-680081,Bonds,1626225
US10,2023-04-11,418080,1057117,51287.0,69293.0,-639037,Bonds,1475197
US10,2023-04-04,366793,987824,-63805.0,85648.0,-621031,Bonds,1354617
US10,2023-03-28,430598,902176,51494.0,-47957.0,-471578,Bonds,1332774
US10,2023-03-21,379104,950133,-54937.0,8726.0,-571029,Bonds,1329237
US10,2023-03-14,434041,941407,-9963.0,-58670.0,-507366,Bonds,1375448
US10,2023-03-07,444004,1000077,42507.0,-29367.0,-556073,Bonds,1444081
US10,2023-02-28,401497,1029444,-21670.0,105617.0,-627947,Bonds,1430941
US10,2023-02-21,423167,923827,16448.0,-45827.0,-500660,Bonds,1346994
US10,2023-02-14,406719,969654,-5103.0,-28068.0,-562935,Bonds,1376373
US10,2023-02-07,411822,997722,44089.0,74518.0,-585900,Bonds,1409544
US10,2023-01-31,367733,923204,8556.0,22206.0,-555471,Bonds,1290937
US10,2023-01-24,359177,900998,25155.0,21919.0,-541821,Bonds,1260175
US10,2023-01-17,334022,879079,-21967.0,111732.0,-545057,Bonds,1213101
US10,2023-01-10,355989,767347,-49792.0,-22036.0,-411358,Bonds,1123336
US10,2023-01-03,405781,789383,-21733.0,17660.0,-383602,Bonds,1195164
USOil,2023-12-26,340839,141555,6104.0,-10437.0,199284,Commodity,482394
USOil,2023-12-19,334735,151992,-11250.0,-42394.0,182743,Commodity,486727
USOil,2023-12-12,345985,194386,-3676.0,13715.0,151599,Commodity,540371
USOil,2023-12-05,349661,180671,-2721.0,11460.0,168990,Commodity,530332
USOil,2023-11-28,352382,169211,1597.0,25750.0,183171,Commodity,521593
USOil,2023-11-21,350785,143461,-13594.0,-5184.0,207324,Commodity,494246
USOil,2023-11-14,364379,148645,-16772.0,3464.0,215734,Commodity,513024
USOil,2023-11-07,381151,145181,-2631.0,23657.0,235970,Commodity,526332
USOil,2023-10-31,383782,121524,-12748.0,25759.0,262258,Commodity,505306
USOil,2023-10-24,396530,95765,7687.0,13310.0,300765,Commodity,492295
USOil,2023-10-17,388843,82455,-23981.0,-8395.0,306388,Commodity,471298
USOil,2023-10-10,412824,90850,-48383.0,-20797.0,321974,Commodity,503674
USOil,2023-10-03,461207,111647,-7844.0,-7349.0,349560,Commodity,572854
USOil,2023-09-26,469051,118996,26763.0,5134.0,350055,Commodity,588047
USOil,2023-09-19,442288,113862,13490.0,11935.0,328426,Commodity,556150
