Market_Names,Date,NonComm_Long,NonComm_Short,Change_Long,Change_Short,Net_Position,Market_Type,Total,ReleaseDate
XAU,2025-08-19,275277,62687,-12838.0,4057.0,212590,Commodity,337964,2025-08-22
EUR,2025-08-19,252719,133974,6420.0,3106.0,118745,Forex,386693,2025-08-22
USOil,2025-08-19,304490,184281,11266.0,7799.0,120209,Commodity,488771,2025-08-22
GBP,2025-08-19,81303,106488,7567.0,-6341.0,-25185,Forex,187791,2025-08-22
BTC,2025-08-19,23064,24264,-374.0,84.0,-1200,Crypto,47328,2025-08-22
NAS100,2025-08-19,87625,53780,-10290.0,-1823.0,33845,Indices,141405,2025-08-22
CAD,2025-08-19,19028,112107,-1870.0,1132.0,-93079,Forex,131135,2025-08-22
NZD,2025-08-19,12986,17056,1826.0,1209.0,-4070,Forex,30042,2025-08-22
USD,2025-08-19,11359,17347,-1370.0,-1629.0,-5988,Forex,28706,2025-08-22
CHF,2025-08-19,6459,33737,368.0,-397.0,-27278,Forex,40196,2025-08-22
SP500,2025-08-19,222602,397664,-1051.0,-21945.0,-175062,Indices,620266,2025-08-22
AUD,2025-08-19,31668,126555,6037.0,13019.0,-94887,Forex,158223,2025-08-22
US30,2025-08-19,12445,15386,1470.0,1907.0,-2941,Indices,27831,2025-08-22
JPY,2025-08-19,168363,90782,3670.0,323.0,77581,Forex,259145,2025-08-22
US10,2025-08-19,523308,1468824,-21126.0,-17833.0,-945516,Bonds,1992132,2025-08-22
US30,2025-08-12,10975,13479,1205.0,-206.0,-2504,Indices,24454,2025-08-15
AUD,2025-08-12,25631,113536,1643.0,5988.0,-87905,Forex,139167,2025-08-15
XAU,2025-08-12,288115,58630,-4079.0,3486.0,229485,Commodity,346745,2025-08-15
NAS100,2025-08-12,97915,55603,11364.0,2888.0,42312,Indices,153518,2025-08-15
GBP,2025-08-12,73736,112829,8101.0,13891.0,-39093,Forex,186565,2025-08-15
NZD,2025-08-12,11160,15847,75.0,-71.0,-4687,Forex,27007,2025-08-15
EUR,2025-08-12,246299,130868,-1058.0,-530.0,115431,Forex,377167,2025-08-15
USOil,2025-08-12,293224,176482,-17335.0,7752.0,116742,Commodity,469706,2025-08-15
USD,2025-08-12,12729,18976,1330.0,547.0,-6247,Forex,31705,2025-08-15
BTC,2025-08-12,23438,24180,399.0,-360.0,-742,Crypto,47618,2025-08-15
CAD,2025-08-12,20898,110975,-2691.0,7966.0,-90077,Forex,131873,2025-08-15
CHF,2025-08-12,6091,34134,-715.0,-49.0,-28043,Forex,40225,2025-08-15
SP500,2025-08-12,223653,419609,-9675.0,43184.0,-195956,Indices,643262,2025-08-15
US10,2025-08-12,544434,1486657,418.0,-17193.0,-942223,Bonds,2031091,2025-08-15
JPY,2025-08-12,164693,90459,4435.0,12207.0,74234,Forex,255152,2025-08-15
JPY,2025-08-05,160258,78252,-1864.0,5373.0,82006,Forex,238510,2025-08-08
BTC,2025-08-05,23039,24540,-812.0,-319.0,-1501,Crypto,47579,2025-08-08
NAS100,2025-08-05,86551,52715,1541.0,2659.0,33836,Indices,139266,2025-08-08
GBP,2025-08-05,65635,98938,-22164.0,-889.0,-33303,Forex,164573,2025-08-08
